avg_reward,avg_episode,avg_step,avg_time,flops_per_step,flops_per_episode,total_flops,reward_per_flops
-289.838,-1,-1,-1,9728,-9728,9728,-0.03

Episode,Score,Average Reward,Convergence Episode,Convergence Step,Convergence Time
410,-530.0573308657756,-255.74810528448268,-1,-1,-1
411,-451.32510686324855,-257.4409936999845,-1,-1,-1
412,-159.86920924433338,-254.33956570139583,-1,-1,-1
413,-381.68968195383775,-254.9880179033405,-1,-1,-1
414,-708.4076991380954,-260.74701269638723,-1,-1,-1
415,-489.7440608439641,-263.0421503276942,-1,-1,-1
416,-261.9423208304412,-264.91815957398137,-1,-1,-1
417,-235.08387134338807,-265.29832801624264,-1,-1,-1
418,-261.4113624780569,-264.40672136207843,-1,-1,-1
419,-424.6319977365851,-264.95830579787867,-1,-1,-1
420,-361.9528016296245,-261.6839543724118,-1,-1,-1
421,-214.30265683427115,-262.8253491937795,-1,-1,-1
422,-82.76389054521572,-262.4965893162481,-1,-1,-1
423,-61.912054644669126,-258.28982931983404,-1,-1,-1
424,-704.6206170937502,-264.02277991175737,-1,-1,-1
425,-567.732809170586,-269.6312653224655,-1,-1,-1
426,-531.4750104622237,-269.7031193485928,-1,-1,-1
427,-230.4240353689769,-268.88126699767986,-1,-1,-1
428,221.7772627396074,-264.29810581586867,-1,-1,-1
429,-816.1311858844928,-270.2331829391722,-1,-1,-1
430,-62.79470228462323,-265.67124106535016,-1,-1,-1
431,-450.3999405124299,-269.6522133376992,-1,-1,-1
432,-82.98049537927415,-268.63236140367576,-1,-1,-1
433,-278.1200363802378,-265.16724120246613,-1,-1,-1
434,-253.13887981554421,-264.8114924945159,-1,-1,-1
435,-457.5876401443245,-262.41371783035066,-1,-1,-1
436,-741.9236652602776,-269.6246646623534,-1,-1,-1
437,-643.7434447327761,-275.74752066683163,-1,-1,-1
438,-365.4513030672963,-276.929505450994,-1,-1,-1
439,-393.37550383205223,-277.3328864695809,-1,-1,-1
440,-736.4930226024643,-281.6741946546636,-1,-1,-1
441,-761.5236601843462,-287.2989060750641,-1,-1,-1
442,244.04653232916843,-282.74883484951135,-1,-1,-1
443,-315.99354793635626,-287.5489298923906,-1,-1,-1
444,-126.55361503201458,-285.7973867133745,-1,-1,-1
445,16.643019415065673,-285.14462269662766,-1,-1,-1
446,-149.00324318120545,-284.4175629098619,-1,-1,-1
447,-275.1441876694937,-284.48340762090976,-1,-1,-1
448,-684.5240078931358,-289.12547851527444,-1,-1,-1
449,-789.8898343334898,-296.5683418830524,-1,-1,-1
450,-653.1267844343828,-304.9470190897428,-1,-1,-1
451,-607.5192044903304,-308.3614619942642,-1,-1,-1
452,-792.9028606849231,-313.9271280165462,-1,-1,-1
453,-308.49586482808303,-316.3337357912024,-1,-1,-1
454,-176.8295216959505,-314.56630425803644,-1,-1,-1
455,-262.19676103013893,-315.76638952612365,-1,-1,-1
456,-623.9767955636413,-319.8029481460076,-1,-1,-1
457,-4.457610277709563,-315.855079082976,-1,-1,-1
458,223.09142462511466,-312.64700999425656,-1,-1,-1
459,-212.53688490682637,-316.64949313723866,-1,-1,-1
460,230.27588491989104,-312.98110291743063,-1,-1,-1
461,-427.1219227582393,-313.33074361535165,-1,-1,-1
462,-373.70596908633877,-314.7671193349877,-1,-1,-1
463,-298.41579964910676,-315.1648514808896,-1,-1,-1
464,-329.6891186250939,-317.5753692468415,-1,-1,-1
465,-452.21060598774295,-320.6054189954449,-1,-1,-1
466,-23.78162776133115,-320.48512344044684,-1,-1,-1
467,-86.5902752084601,-316.7452030407396,-1,-1,-1
